game,season,home,away
0021500450,2015,SAS,DEN
0021500451,2015,PHX,PHI
0021500452,2015,UTA,LAC
0021500453,2015,POR,CLE
0021500455,2015,MEM,LAL
0021500454,2015,BOS,NYK
0021500456,2015,OKC,DEN
0021500457,2015,SAC,POR
0021500458,2015,CHA,LAL
0021500459,2015,IND,ATL
0021500460,2015,ORL,NOP
0021500461,2015,WAS,LAC
0021500462,2015,MIA,BKN
0021500463,2015,CHI,TOR
0021500464,2015,DAL,MIL
0021500465,2015,SAS,MIN
0021500466,2015,PHX,CLE
0021500467,2015,UTA,PHI
0021500468,2015,GSW,SAC
0021500469,2015,NYK,DET
0021500470,2015,HOU,ATL
0021500471,2015,MEM,MIA
0021500472,2015,OKC,MIL
0021500473,2015,DEN,CLE
0021500474,2015,CHA,LAC
0021500475,2015,ORL,BKN
0021500476,2015,BOS,LAL
0021500477,2015,TOR,WAS
0021500478,2015,CHI,IND
0021500479,2015,MIN,UTA
0021500480,2015,DAL,GSW
0021500481,2015,SAS,PHX
0021500482,2015,POR,DEN
0021500483,2015,SAC,PHI
0021500484,2015,IND,MIL
0021500486,2015,DET,MIN
0021500485,2015,HOU,GSW
0021500487,2015,NOP,LAC
0021500488,2015,OKC,PHX
0021500489,2015,UTA,POR
0021500490,2015,WAS,ORL
0021500491,2015,MIA,DAL
0021500492,2015,TOR,CHA
0021500493,2015,CHI,NYK
0021500494,2015,LAL,PHI
0021500495,2015,BOS,BKN
0021500496,2015,SAC,PHX
0021500497,2015,CHA,OKC
0021500498,2015,IND,DET
0021500499,2015,CLE,ORL
0021500500,2015,MIN,MIL
0021500501,2015,DAL,NOP
0021500502,2015,SAS,HOU
0021500503,2015,UTA,MEM
0021500504,2015,GSW,DEN
0021500505,2015,LAC,PHI
0021500506,2015,NYK,ATL
0021500507,2015,TOR,CHI
0021500508,2015,WAS,MIA
0021500509,2015,DEN,POR
0021500510,2015,LAL,PHX
0021500511,2015,CLE,TOR
0021500512,2015,PHI,MIN
0021500513,2015,BKN,BOS
0021500514,2015,DET,ORL
0021500515,2015,MIA,IND
0021500516,2015,MIL,SAS
0021500517,2015,OKC,SAC
0021500518,2015,UTA,HOU
0021500519,2015,POR,MEM
0021500520,2015,GSW,CHA
0021500521,2015,ATL,NYK
0021500522,2015,CHI,MIL
0021500523,2015,DAL,SAC
0021500524,2015,LAL,GSW
0021500525,2015,MIA,NYK
0021500526,2015,ORL,IND
0021500527,2015,WAS,CLE
0021500528,2015,BOS,DET
0021500529,2015,BKN,TOR
0021500530,2015,MIN,DEN
0021500531,2015,NOP,DAL
0021500532,2015,SAS,UTA
0021500533,2015,PHX,CHA
0021500534,2015,OKC,MEM
0021500535,2015,POR,LAC
0021500536,2015,PHI,ATL
0021500537,2015,CHI,BOS
0021500538,2015,HOU,UTA
0021500539,2015,SAC,LAL
0021500540,2015,WAS,TOR
0021500541,2015,BKN,ORL
0021500542,2015,MEM,DEN
0021500543,2015,MIN,CLE
0021500544,2015,NOP,IND
0021500545,2015,MIL,DAL
0021500546,2015,SAS,NYK
0021500547,2015,PHX,MIA
0021500548,2015,POR,GSW
0021500549,2015,LAL,OKC
0021500550,2015,LAC,CHA
0021500551,2015,ATL,CHI
0021500552,2015,ORL,WAS
0021500553,2015,DET,BKN
0021500554,2015,PHI,TOR
0021500555,2015,UTA,MIA
0021500556,2015,SAC,GSW
0021500558,2015,LAC,NOP
0021500557,2015,MIN,DAL
0021500559,2015,PHI,CLE
0021500560,2015,MEM,BOS
0021500561,2015,HOU,IND
0021500562,2015,NYK,MIL
0021500563,2015,DEN,CHA
0021500564,2015,POR,OKC
0021500565,2015,LAL,UTA
0021500566,2015,BKN,SAS
0021500567,2015,CHI,WAS
0021500568,2015,GSW,MIA
0021500569,2015,IND,PHX
0021500570,2015,DET,SAS
0021500571,2015,NYK,BOS
0021500572,2015,MEM,HOU
0021500573,2015,MIL,CHI
0021500574,2015,MIN,OKC
0021500575,2015,DAL,CLE
0021500576,2015,LAL,NOP
0021500577,2015,CHA,ATL
0021500578,2015,WAS,MIL
0021500579,2015,BKN,NYK
0021500580,2015,BOS,IND
0021500581,2015,HOU,MIN
0021500582,2015,OKC,DAL
0021500583,2015,DEN,GSW
0021500584,2015,POR,UTA
0021500585,2015,SAC,NOP
0021500586,2015,LAC,MIA
0021500588,2015,ORL,TOR
0021500587,2015,PHI,CHI
0021500589,2015,MEM,DET
0021500590,2015,SAS,CLE
0021500591,2015,UTA,SAC
0021500592,2015,GSW,LAL
0021500593,2015,IND,WAS
0021500594,2015,OKC,MIN
0021500595,2015,BOS,PHX
0021500596,2015,BKN,POR
0021500597,2015,CHI,DAL
0021500598,2015,NOP,CHA
0021500599,2015,MIL,ATL
0021500600,2015,DEN,MIA
0021500601,2015,HOU,CLE
0021500603,2015,CHA,MIL
0021500602,2015,ATL,BKN
0021500604,2015,WAS,BOS
0021500605,2015,DET,GSW
0021500606,2015,PHI,POR
0021500607,2015,MEM,NYK
0021500608,2015,UTA,LAL
0021500609,2015,LAC,SAC
0021500610,2015,MIN,PHX
0021500611,2015,OKC,MIA
0021500612,2015,SAS,DAL
0021500613,2015,DEN,IND
0021500614,2015,LAL,HOU
0021500615,2015,NYK,PHI
0021500616,2015,CHA,UTA
0021500617,2015,WAS,POR
0021500618,2015,MEM,NOP
0021500619,2015,DET,CHI
0021500620,2015,ATL,ORL
0021500621,2015,TOR,BKN
0021500622,2015,CLE,GSW
0021500623,2015,DAL,BOS
0021500624,2015,LAC,HOU
0021500625,2015,MIA,MIL
0021500626,2015,NOP,MIN
0021500627,2015,DEN,OKC
0021500628,2015,PHX,IND
0021500629,2015,ORL,PHI
0021500630,2015,WAS,MIA
0021500631,2015,BKN,CLE
0021500632,2015,NYK,UTA
0021500633,2015,TOR,BOS
0021500634,2015,CHI,GSW
0021500635,2015,HOU,DET
0021500636,2015,OKC,CHA
0021500637,2015,DAL,MIN
0021500638,2015,LAL,SAC
0021500639,2015,POR,ATL
0021500640,2015,CLE,LAC
0021500641,2015,NOP,DET
0021500642,2015,DEN,MEM
0021500643,2015,SAC,ATL
0021500644,2015,PHX,SAS
0021500645,2015,ORL,CHA
0021500646,2015,BOS,CHI
0021500647,2015,BKN,UTA
0021500648,2015,NYK,LAC
0021500649,2015,TOR,MIA
0021500650,2015,HOU,MIL
0021500651,2015,DAL,OKC
0021500652,2015,GSW,IND
0021500653,2015,LAL,SAS
0021500655,2015,CHA,NYK
0021500657,2015,NOP,MIL
0021500658,2015,MIN,MEM
0021500659,2015,CLE,CHI
0021500660,2015,PHX,ATL
0021500661,2015,DEN,DET
0021500662,2015,POR,LAL
0021500663,2015,SAC,IND
0021500665,2015,HOU,DAL
0021500666,2015,TOR,LAC
0021500656,2015,PHI,BOS
0021500664,2015,BKN,OKC
0021500667,2015,CLE,MIN
0021500668,2015,WAS,BOS
0021500669,2015,CHI,MIA
0021500670,2015,MEM,ORL
0021500671,2015,NOP,HOU
0021500672,2015,DEN,ATL
0021500673,2015,UTA,DET
0021500674,2015,SAC,CHA
0021500675,2015,GSW,SAS
0021500676,2015,IND,LAC
0021500677,2015,PHI,PHX
0021500678,2015,BKN,MIA
0021500679,2015,NYK,OKC
0021500680,2015,TOR,WAS
0021500681,2015,MIL,ORL
0021500682,2015,POR,SAC
0021500683,2015,LAL,DAL
0021500684,2015,CLE,PHX
0021500685,2015,BOS,DEN
0021500686,2015,DET,PHI
0021500687,2015,ATL,LAC
0021500688,2015,MIN,OKC
0021500689,2015,SAS,HOU
0021500690,2015,UTA,CHA
0021500691,2015,GSW,DAL
0021500692,2015,IND,ATL
0021500693,2015,WAS,DEN
0021500694,2015,TOR,NYK
0021500695,2015,MEM,MIL
0021500696,2015,NOP,SAC
0021500697,2015,LAL,CHI
0021500698,2015,BOS,ORL
0021500699,2015,DET,CLE
0021500700,2015,NYK,PHX
0021500701,2015,OKC,HOU
0021500703,2015,MIL,MIA
0021500702,2015,DAL,BKN
0021500704,2015,UTA,MIN
0021500705,2015,POR,CHA
0021500706,2015,LAC,LAL
0021500707,2015,PHI,GSW
0021500708,2015,TOR,DET
0021500709,2015,IND,DEN
0021500710,2015,NOP,BKN
0021500711,2015,HOU,WAS
0021500712,2015,MEM,SAC
0021500713,2015,CLE,SAS
0021500714,2015,LAC,CHI
0021500715,2015,MIA,ATL
0021500716,2015,ORL,BOS
0021500717,2015,DAL,PHX
0021500718,2015,NYK,GSW
0021500719,2015,POR,MIN
0021500720,2015,LAL,CHA
0021500721,2015,IND,CLE
0021500722,2015,BKN,DET
0021500723,2015,ATL,DAL
0021500724,2015,NOP,MEM
0021500725,2015,OKC,WAS
0021500726,2015,SAS,ORL
0021500727,2015,DEN,TOR
0021500728,2015,UTA,CHI
0021500729,2015,SAC,MIL
0021500730,2015,NYK,BOS
0021500731,2015,HOU,MIA
0021500732,2015,PHX,TOR
0021500733,2015,POR,MIL
0021500734,2015,LAL,MIN
0021500735,2015,CHA,CLE
0021500736,2015,PHI,ATL
0021500737,2015,BOS,DET
0021500738,2015,BKN,IND
0021500739,2015,WAS,GSW
0021500740,2015,OKC,ORL
0021500741,2015,DAL,MIA
0021500742,2015,SAS,NOP
0021500743,2015,UTA,DEN
0021500744,2015,SAC,CHI
0021500745,2015,LAC,MIN
0021500746,2015,DET,NYK
0021500749,2015,PHX,HOU
0021500747,2015,NOP,LAL
0021500748,2015,POR,TOR
0021500750,2015,ATL,IND
0021500751,2015,CHA,MIA
0021500752,2015,ORL,LAC
0021500753,2015,WAS,PHI
0021500754,2015,BKN,SAC
0021500755,2015,CLE,BOS
0021500756,2015,NYK,MEM
0021500757,2015,DEN,CHI
0021500758,2015,UTA,MIL
0021500759,2015,DAL,SAS
0021500760,2015,HOU,POR
0021500761,2015,CHA,WAS
0021500762,2015,IND,DET
0021500763,2015,CLE,NOP
0021500764,2015,PHI,BKN
0021500765,2015,MEM,DAL
0021500766,2015,MIN,CHI
0021500767,2015,SAS,LAL
0021500768,2015,PHX,UTA
0021500769,2015,GSW,OKC
0021500770,2015,NYK,DEN
0021500771,2015,ORL,ATL
0021500773,2015,BOS,SAC
0021500772,2015,MIA,LAC
0021500774,2015,CHA,CHI
0021500775,2015,CLE,SAC
0021500776,2015,IND,LAL
0021500777,2015,PHI,LAC
0021500778,2015,BKN,DEN
0021500779,2015,DET,TOR
0021500780,2015,ATL,ORL
0021500781,2015,MEM,POR
0021500782,2015,MIN,NOP
0021500783,2015,PHX,OKC
0021500784,2015,MIA,SAS
0021500785,2015,NYK,WAS
0021500786,2015,MIL,BOS
0021500787,2015,DAL,UTA
0021500788,2015,GSW,HOU
0021500789,2015,IND,CHA
0021500790,2015,ORL,SAS
0021500791,2015,PHI,SAC
0021500792,2015,BOS,LAC
0021500793,2015,BKN,MEM
0021500794,2015,DET,DEN
0021500795,2015,CLE,LAL
0021500796,2015,CHI,ATL
0021500797,2015,MIN,TOR
0021500798,2015,NOP,UTA
0021500799,2015,PHX,GSW
0021500800,2015,POR,HOU
0021500801,2015,MIL,WAS
0021500802,2015,OKC,NOP
0031500002,2015,WLD,USA
0031500001,2015,EST,WST
0021500654,2015,WAS,UTA
0021500803,2015,CLE,CHI
0021500804,2015,LAC,SAS
0021500805,2015,ORL,DAL
0021500806,2015,WAS,DET
0021500807,2015,BKN,NYK
0021500808,2015,ATL,MIA
0021500809,2015,CHI,TOR
0021500810,2015,MEM,MIN
0021500811,2015,NOP,PHI
0021500812,2015,OKC,IND
0021500813,2015,MIL,CHA
0021500814,2015,PHX,HOU
0021500815,2015,POR,GSW
0021500816,2015,SAC,DEN
0021500817,2015,UTA,BOS
0021500818,2015,LAL,SAS
0021500819,2015,ATL,MIL
0021500820,2015,MIA,WAS
0021500821,2015,MIN,NYK
0021500822,2015,LAC,GSW
0021500823,2015,DET,NOP
0021500824,2015,OKC,CLE
0021500825,2015,DEN,BOS
0021500826,2015,PHX,SAS
0021500827,2015,BKN,CHA
0021500828,2015,ORL,IND
0021500829,2015,TOR,MEM
0021500830,2015,DAL,PHI
0021500831,2015,CHI,LAL
0021500832,2015,POR,UTA
0021500833,2015,CLE,DET
0021500834,2015,MIA,IND
0021500835,2015,NYK,TOR
0021500836,2015,ATL,GSW
0021500837,2015,MIL,LAL
0021500838,2015,MIN,BOS
0021500839,2015,LAC,PHX
0021500840,2015,PHI,ORL
0021500841,2015,WAS,NOP
0021500842,2015,DEN,SAC
0021500843,2015,UTA,HOU
0021500844,2015,POR,BKN
0021500845,2015,CLE,CHA
0021500846,2015,IND,NYK
0021500847,2015,DET,PHI
0021500848,2015,MIA,GSW
0021500849,2015,TOR,MIN
0021500850,2015,CHI,WAS
0021500851,2015,MEM,LAL
0021500852,2015,DAL,OKC
0021500853,2015,LAC,DEN
0021500854,2015,SAC,SAS
0021500855,2015,ORL,GSW
0021500856,2015,BOS,MIL
0021500857,2015,NOP,OKC
